fold_month,fold_start,fold_end,horizon,n_origins_valid,rmse_sarima,rmse_persistence,skill
2020-01,2020-01-01,2020-01-31,1,15,26.104521238970882,25.203174403237384,-0.035763226540928006
2020-01,2020-01-01,2020-01-31,2,14,33.539033608377345,40.506613216679995,0.17201091513208788
2020-01,2020-01-01,2020-01-31,3,14,35.239469204275515,47.322601063641585,0.255335327893666
2020-01,2020-01-01,2020-01-31,4,14,35.372576587077546,49.96641729344678,0.2920729861551081
2020-01,2020-01-01,2020-01-31,5,14,35.117341296056814,51.142657621318705,0.31334539639922376
2020-01,2020-01-01,2020-01-31,6,14,34.91554009259378,51.66167410594213,0.3241500455251838
2020-01,2020-01-01,2020-01-31,7,14,24.446826097223454,44.57097069361883,0.45150788244503115
2020-02,2020-02-01,2020-02-29,1,27,24.928804704651707,28.85468060111899,0.13605681347639098
2020-02,2020-02-01,2020-02-29,2,27,28.014666978034874,37.04701717387625,0.24380775794847387
2020-02,2020-02-01,2020-02-29,3,27,27.3620697232474,35.72321581476321,0.23405356715003311
2020-02,2020-02-01,2020-02-29,4,27,27.8278568134503,39.34510181759652,0.29272373108957883
2020-02,2020-02-01,2020-02-29,5,27,27.768022339209292,39.99953703435782,0.3057914066515871
2020-02,2020-02-01,2020-02-29,6,27,27.503562652216768,39.0185141239956,0.29511506858477143
2020-02,2020-02-01,2020-02-29,7,27,27.60231957709489,40.40947816943354,0.31693452062507
2020-03,2020-03-01,2020-03-31,1,29,8.293758101745173,9.334770004369833,0.11151982342760858
2020-03,2020-03-01,2020-03-31,2,29,7.700020291717233,8.644312461441597,0.10923855123659965
2020-03,2020-03-01,2020-03-31,3,29,7.954123629247394,8.34390134500477,0.04671408489156259
2020-03,2020-03-01,2020-03-31,4,29,8.399213682315569,9.191450300180579,0.08619277611167031
2020-03,2020-03-01,2020-03-31,5,29,8.507758424047248,9.310727961465409,0.08624132728841771
2020-03,2020-03-01,2020-03-31,6,29,8.240340537861968,8.533908026625115,0.03440012334879161
2020-03,2020-03-01,2020-03-31,7,29,8.08244683920707,8.975061233102036,0.09945496422941436
2020-04,2020-04-01,2020-04-30,1,23,4.429122836873445,2.553769592276246,-0.7343470805937682
2020-04,2020-04-01,2020-04-30,2,22,5.8423735279686815,3.89638527122488,-0.49943425028194266
2020-04,2020-04-01,2020-04-30,3,22,6.2399417051730035,4.242640687119285,-0.4707683646455265
2020-04,2020-04-01,2020-04-30,4,22,6.260658358482577,3.9772077916777016,-0.5741340876337895
2020-04,2020-04-01,2020-04-30,5,22,6.074624785393607,5.112373581455451,-0.18822004859515995
2020-04,2020-04-01,2020-04-30,6,23,5.389317079894905,5.03466246008176,-0.07044258132994785
2020-04,2020-04-01,2020-04-30,7,23,5.382897526556862,4.667184236309102,-0.15335012590241348
2020-05,2020-05-01,2020-05-31,1,24,4.307783726604325,4.148292821551214,-0.03844735941120736
2020-05,2020-05-01,2020-05-31,2,23,4.972143024744724,5.548207701199747,0.1038289673853513
2020-05,2020-05-01,2020-05-31,3,22,5.456448773380939,6.664014624015384,0.1812069628843086
2020-05,2020-05-01,2020-05-31,4,21,6.027553395315965,7.816344292265924,0.22885262343419577
2020-05,2020-05-01,2020-05-31,5,20,6.09062282724677,8.034301463101817,0.24192254233694732
2020-05,2020-05-01,2020-05-31,6,19,6.153656710097457,9.023361492901575,0.3180305682158068
2020-05,2020-05-01,2020-05-31,7,19,5.8095144191210295,9.020444615019349,0.35596141132023695
2020-06,2020-06-01,2020-06-30,1,26,5.606688993932935,5.63300712149108,0.004672127513870139
2020-06,2020-06-01,2020-06-30,2,26,5.812167745795914,7.127951480453014,0.18459493421993312
